Date,Open,High,Low,Close,Adj Close,Volume
2006-01-27,127.336548,127.336548,105.310768,113.575356,95.093613,45245
2006-01-30,111.112206,112.980461,107.179031,111.146622,93.060112,2928
2006-01-31,111.407188,111.407188,109.145615,109.145615,91.384727,21021
2006-02-01,113.068954,113.068954,100.394302,103.899742,86.992500,915
2006-02-02,103.245850,105.212440,100.394302,101.235016,84.761360,4606
2006-02-03,100.394302,100.394302,96.559456,99.312675,83.151871,5684
2006-02-06,99.312675,99.312675,92.429619,95.379501,80.141159,8847
2006-02-07,96.362793,100.738457,93.211342,97.862320,82.227318,27092
2006-02-08,98.329384,98.329384,94.396210,95.689240,80.401405,2176
2006-02-10,95.762985,97.223175,95.379501,95.497498,80.240295,114716
2006-02-13,95.541748,100.197639,93.904564,98.545708,82.801537,36703
2006-02-14,101.279266,102.262558,98.329384,98.934113,83.127869,36428
2006-02-15,106.097404,106.097404,95.084511,97.523079,81.942253,6671
2006-02-16,101.672585,101.672585,95.487663,95.585991,80.314651,2918
2006-02-17,99.214348,99.214348,95.477829,95.861313,80.545975,823
2006-02-20,95.379501,95.871147,91.564323,94.887856,79.728050,3905
2006-02-21,94.873108,94.887856,91.446327,91.505325,76.885948,2206
2006-02-22,92.532867,93.403084,89.022507,90.389282,75.948235,4342
2006-02-23,89.681313,92.282127,88.496445,90.463036,76.010178,267590
2006-02-24,90.463036,91.544655,90.463036,90.944847,76.415009,3508
2006-02-27,88.496445,90.959595,88.348953,88.407951,74.283440,5135
2006-02-28,90.168045,98.231056,83.781548,98.231056,82.537132,5674
2006-03-01,89.528900,96.854446,89.528900,95.615494,80.339470,1881
2006-03-02,98.427711,98.427711,93.707901,93.978310,78.963814,2145
2006-03-03,93.442413,95.871147,90.561363,90.561363,76.092789,3976
2006-03-06,91.682320,94.691193,90.463036,91.441406,76.832222,17044
2006-03-07,90.954681,93.412910,88.988091,91.087425,76.534821,166664
2006-03-08,86.662605,93.412910,86.662605,90.463036,76.010178,21865
2006-03-09,89.676399,93.206421,89.676399,91.249664,76.671127,1067
2006-03-10,93.113007,93.113007,90.463036,90.463036,76.010178,20065
2006-03-13,81.780548,92.262459,81.780548,90.079552,75.687950,24061
2006-03-14,92.331291,92.385368,89.519073,90.084465,75.692085,4891
2006-03-16,88.668518,90.463036,88.668518,90.428619,75.981277,4403
2006-03-17,83.579979,93.412910,83.579979,87.881889,73.841377,10617
